Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
7,Q7,1720364630.111650,2491885,0,1
8,Q8,1720364632.603548,3872129,0,1
9,Q9,1720364636.475691,5097547,0,1
10,Q10,1720364641.573252,856107,0,1
11,Q11,1720364642.429373,246457,0,1
12,Q12,1720364642.675845,1842636,0,1
13,Q13,1720364644.518496,1698221,0,1
14,Q14,1720364646.216732,498964,0,1
15,Q15,1720364646.715710,1859120,0,1
16,Q16,1720364648.574844,785956,0,1
17,Q17,1720364649.360813,1012209,0,1
18,Q18,1720364650.373038,2831379,0,1
19,Q19,1720364653.204431,163981,0,1
20,Q20,1720364653.368426,1077810,0,1
21,Q21,1720364654.446250,2215087,0,1
22,Q22,1720364656.661351,244412,0,1
1,Q1,1720364656.905778,9564026,0,1
2,Q2,1720364666.469817,624227,0,1
3,Q3,1720364667.094057,1070534,0,1
4,Q4,1720364668.164605,432546,0,1
5,Q5,1720364668.597167,2073980,0,1
6,Q6,1720364670.671162,1682269,0,1
7,Q7,1720364672.353447,2426504,0,1
8,Q8,1720364674.779964,3858694,0,1
9,Q9,1720364678.638672,5165564,0,1
10,Q10,1720364683.804250,837370,0,1
11,Q11,1720364684.641633,224634,0,1
12,Q12,1720364684.866281,1815907,0,1
13,Q13,1720364686.682202,1806911,0,1
14,Q14,1720364688.489127,514426,0,1
15,Q15,1720364689.003568,1922034,0,1
16,Q16,1720364690.925615,775478,0,1
17,Q17,1720364691.701106,1058341,0,1
18,Q18,1720364692.759461,2742134,0,1
19,Q19,1720364695.501608,131143,0,1
20,Q20,1720364695.632765,1033802,0,1
21,Q21,1720364696.666582,2163721,0,1
22,Q22,1720364698.830322,243745,0,1
1,Q1,1720364699.074081,9466106,0,1
2,Q2,1720364708.540201,654238,0,1
3,Q3,1720364709.194454,1102347,0,1
4,Q4,1720364710.296815,436842,0,1
5,Q5,1720364710.733671,2100108,0,1
6,Q6,1720364712.833793,1644169,0,1
7,Q7,1720364714.477976,2531364,0,1
8,Q8,1720364717.009355,3909229,0,1
9,Q9,1720364720.918599,5075296,0,1
10,Q10,1720364725.993910,776404,0,1
11,Q11,1720364726.770329,212824,0,1
12,Q12,1720364726.983167,1825978,0,1
13,Q13,1720364728.809161,1783107,0,1
14,Q14,1720364730.592281,509043,0,1
15,Q15,1720364731.101338,1925585,0,1
16,Q16,1720364733.026935,762570,0,1
